
A	ء
B	آ
C	آ
D	أ
E	أ
F	ؤ
G	ؤ
H	إ
I	إ
J	ئ
K	ئ
L	ئ
M	ئ
N	ا
O	ا
P	ب
Q	ب
R	ب
S	ب
T	ة
U	ة
V	ت
W	ت
X	ت
Y	ت
Z	ث
À	ث
Á	ث
Â	ث
Ã	ج
Ä	ج
Å	ج
Æ	ج
Ç	ح
È	ح
É	ح
Ê	ح
Ë	خ
Ì	خ
Í	خ
Î	خ
Ï	د
Ð	د
Ñ	ذ
Ò	ذ
Ó	ر
Ô	ر
Õ	ز
Ö	ز
×	س
Ø	س
Ù	س
Ú	س
Û	ش
Ü	ش
Ý	ش
Þ	ش
ß	ص
à	ص
á	ص
â	ص
ã	ض
ä	ض
å	ض
æ	ض
ç	ط
è	ط
é	ط
ê	ط
ë	ظ
ì	ظ
í	ظ
î	ظ
ï	ع
ð	ع
ñ	ع
ò	ع
ó	غ
ô	غ
õ	غ
ö	غ
÷	ف
ø	ف
ù	ف
ú	ف
û	ق
ü	ق
ý	ق
þ	ق
ÿ	ك
Ā	ك
ā	ك
Ă	ك
ă	ل
Ą	ل
ą	ل
Ć	ل
ć	م
Ĉ	م
ĉ	م
Ċ	م
ċ	ن
Č	ن
č	ن
Ď	ن
ď	ه
Đ	ه
đ	ه
Ē	ه
ē	و
Ĕ	و
ĕ	ى
Ė	ى
ė	ى
Ę	ى
ę	ي
Ě	ي
ě	ي
Ĝ	ي
ĝ	لا
Ğ	لا
ğ	لأ
Ġ	لأ
ġ	لآ
Ģ	لآ
ģ	لإ
Ĥ	لإ
0	0
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
!	!
"	"
%	%
(	(
)	)
,	,
.	.
/	/
:	:
=	=
?	?
[	[
]	]
«	«
»	»
،	،
؛	؛
؟	؟
-	-
+	+
*	*
